TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  5.4000E+01  3.0421E+01 -3.3185E-01 -3.1387E-01  3.1899E+01  5.2265E+01 -2.0366E+01 -2.9268E-01
  5.5000E+01  2.7954E+01 -1.2090E+00 -1.6965E+00  2.1274E+01  4.7502E+01 -2.6228E+01 -1.0531E+00
  5.6000E+01  2.5881E+01 -1.2265E+00 -1.4840E+00  2.0547E+01  4.3327E+01 -2.2780E+01 -9.4474E-01
  5.7000E+01  2.3945E+01 -6.4335E-01 -1.0411E+00  2.0914E+01  3.9478E+01 -1.8564E+01 -7.0929E-01
  5.8000E+01  2.0261E+01 -1.3205E+00 -1.7168E+00  1.4613E+01  3.2450E+01 -1.7837E+01 -1.1774E+00
  5.9000E+01  1.5537E+01  7.3885E-01  1.1447E+00  1.9755E+01  2.4151E+01 -4.3956E+00  5.3803E-01
  6.0000E+01  9.6778E+00  1.0043E-01  3.8110E-01  1.0598E+01  1.5208E+01 -4.6104E+00  6.4043E-02
  6.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6000E+01  3.1276E+01  1.0655E+00  1.1386E+00  3.9120E+01  3.6730E+01  2.3903E+00  9.5957E-01
  6.7000E+01  3.3761E+01 -3.2304E-01 -6.9491E-01  3.1283E+01  4.4597E+01 -1.3314E+01 -5.7653E-01
  6.8000E+01  3.3619E+01 -1.8339E+00 -2.4113E+00  2.0274E+01  4.7923E+01 -2.7649E+01 -1.7616E+00
  6.9000E+01  3.2631E+01 -3.3428E-02 -1.1467E-02  3.5498E+01  4.8379E+01 -1.2881E+01 -1.3354E-01
  7.0000E+01  2.9608E+01 -1.5834E+00 -1.8002E+00  2.1502E+01  4.4905E+01 -2.3403E+01 -1.2535E+00
  7.1000E+01  2.7390E+01 -3.8532E-01 -5.0468E-01  2.6832E+01  4.1219E+01 -1.4387E+01 -4.1743E-01
  7.2000E+01  2.5481E+01  1.6712E-02  9.3345E-02  2.7888E+01  3.7923E+01 -1.0035E+01 -3.2625E-02
